,Depth (m),Number of Prod Wells,Number of Inj Wells,Maximum Reservoir Temperature (deg.C),Wellfield Cost ($M),Surface Plant Cost ($M),Exploration Cost ($M),Field Gathering System Cost ($M),Wellfield O&M Cost ($M/year),Surface Plant O&M Cost ($M/year),Make-Up Water O&M Cost ($M/year),Average Reservoir Heat Extraction (MWth),Average Total Electricity Generation (MWe),Lifetime
3,1.0,1,1,400.0,4.6,6.51,2.98,1.19,0.12,0.29,0.04,0.56,0.56,35
2,1.0,1,2,400.0,6.9,6.51,2.98,1.6,0.15,0.29,0.04,0.56,0.56,35
0,1.0,1,3,400.0,9.2,6.51,2.98,2.05,0.18,0.29,0.04,0.56,0.56,35
1,1.0,1,4,400.0,11.5,6.51,2.98,2.51,0.2,0.29,0.04,0.56,0.56,35
