MACRS 5-yr,% of Basis Prior to Allocation,Gross Basis Allocations,Basis Reduction for IBI,Basis Reduction for CBI,Basis After IBI and CBI Reductions,ITC Qualifying Costs,% of ITC Qualifying Costs,ITC as Percentage Amount,50% Basis Reduction for ITC as %,ITC as Fixed Amount,50% Basis Reduction for ITC as Fixed Amount,State ITC Reduction,Federal ITC Reduction,Basis After ITC Reduction,Bonus Depreciation Reduction,Depreciable Basis,,,,,,,,,,,,,,,,,,,,,,
MACRS 15-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Straight Line 5-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Straight Line 15-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Straight Line 20-yr,100.00,"1,532,780,032.00",0,0,"1,532,780,032.00",0,0,0,0,0,0,0,"229,916,992.00","1,302,862,976.00",0,"1,302,862,976.00",,,,,,,,,,,,,,,,,,,,,,
Straight Line 39-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Total,100.00,"1,532,780,032.00",0,0,"1,532,780,032.00",0,100.00,0,0,0,0,0,"229,916,992.00","1,302,862,976.00",0,"1,302,862,976.00",,,,,,,,,,,,,,,,,,,,,,
DEPRECIATION AND ITC: FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACRS 5-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
MACRS 15-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Straight Line 5-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Straight Line 15-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Straight Line 20-yr,100.00,"1,532,780,032.00",0,0,"1,532,780,032.00","1,532,780,032.00",100.00,"459,833,984.00","229,916,992.00",0,0,0,"229,916,992.00","1,302,862,976.00",0,"1,302,862,976.00",,,,,,,,,,,,,,,,,,,,,,
Straight Line 39-yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Total,100.00,"1,532,780,032.00",0,0,"1,532,780,032.00","1,532,780,032.00",100.00,"459,833,984.00","229,916,992.00",0,0,0,"229,916,992.00","1,302,862,976.00",0,"1,302,862,976.00",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
