Time (hrs),Target Heat (J),Simulated Heat (J)
876.6,-3.0925e+10,-3.04231e+10
888.6,-3.0925e+10,-3.04231e+10
888.6,-3.1287e+10,-3.07795e+10
900.6,-3.1287e+10,-3.07795e+10
900.6,-3.16465e+10,-3.11335e+10
912.6,-3.16465e+10,-3.11335e+10
912.6,-3.20038e+10,-3.14851e+10
924.6,-3.20038e+10,-3.14851e+10
924.6,-3.23587e+10,-3.18344e+10
936.6,-3.23587e+10,-3.18344e+10
936.6,-3.27112e+10,-3.21814e+10
948.6,-3.27112e+10,-3.21814e+10
948.6,-3.30612e+10,-3.2526e+10
960.7,-3.30612e+10,-3.2526e+10
960.7,-3.34088e+10,-3.28682e+10
972.7,-3.34088e+10,-3.28682e+10
972.7,-3.3754e+10,-3.3208e+10
984.7,-3.3754e+10,-3.3208e+10
984.7,-3.40966e+10,-3.35451e+10
996.7,-3.40966e+10,-3.35451e+10
996.7,-3.44367e+10,-3.38802e+10
1008.7,-3.44367e+10,-3.38802e+10
1008.7,-3.47743e+10,-3.42126e+10
1020.7,-3.47743e+10,-3.42126e+10
1020.7,-3.51092e+10,-3.45421e+10
1032.7,-3.51092e+10,-3.45421e+10
1032.7,-3.54416e+10,-3.48692e+10
1044.7,-3.54416e+10,-3.48692e+10
1044.7,-3.57714e+10,-3.5194e+10
1056.7,-3.57714e+10,-3.5194e+10
1056.7,-3.60985e+10,-3.5516e+10
1068.7,-3.60985e+10,-3.5516e+10
1068.7,-3.64229e+10,-3.58356e+10
1080.7,-3.64229e+10,-3.58356e+10
1080.7,-3.67446e+10,-3.61523e+10
1092.7,-3.67446e+10,-3.61523e+10
1092.7,-3.70637e+10,-3.64663e+10
1104.8,-3.70637e+10,-3.64663e+10
1104.8,-3.73799e+10,-3.67774e+10
1116.8,-3.73799e+10,-3.67774e+10
1116.8,-3.76934e+10,-3.70862e+10
1128.8,-3.76934e+10,-3.70862e+10
1128.8,-3.80041e+10,-3.73921e+10
1140.8,-3.80041e+10,-3.73921e+10
1140.8,-3.8312e+10,-3.76952e+10
1152.8,-3.8312e+10,-3.76952e+10
1152.8,-3.8617e+10,-3.79955e+10
1164.8,-3.8617e+10,-3.79955e+10
1164.8,-3.89192e+10,-3.82929e+10
1176.8,-3.89192e+10,-3.82929e+10
1176.8,-3.92185e+10,-3.85876e+10
1188.8,-3.92185e+10,-3.85876e+10
1188.8,-3.95149e+10,-3.88794e+10
1200.8,-3.95149e+10,-3.88794e+10
1200.8,-3.98084e+10,-3.91683e+10
1212.8,-3.98084e+10,-3.91683e+10
1212.8,-4.00989e+10,-3.9454e+10
1224.8,-4.00989e+10,-3.9454e+10
1224.8,-4.03865e+10,-3.97373e+10
1236.8,-4.03865e+10,-3.97373e+10
1236.8,-4.0671e+10,-4.00173e+10
1248.9,-4.0671e+10,-4.00173e+10
1248.9,-4.09526e+10,-4.02945e+10
1260.9,-4.09526e+10,-4.02945e+10
1260.9,-4.12311e+10,-4.05684e+10
1272.9,-4.12311e+10,-4.05684e+10
1272.9,-4.15066e+10,-4.08399e+10
1284.9,-4.15066e+10,-4.08399e+10
1284.9,-4.1779e+10,-4.11077e+10
1296.9,-4.1779e+10,-4.11077e+10
1296.9,-4.20482e+10,-4.13731e+10
1308.9,-4.20482e+10,-4.13731e+10
1308.9,-4.23144e+10,-4.16352e+10
1320.9,-4.23144e+10,-4.16352e+10
1320.9,-4.25775e+10,-4.1894e+10
1332.9,-4.25775e+10,-4.1894e+10
1332.9,-4.28373e+10,-4.215e+10
1344.9,-4.28373e+10,-4.215e+10
1344.9,-4.30941e+10,-4.24027e+10
1356.9,-4.30941e+10,-4.24027e+10
1356.9,-4.33476e+10,-4.2652e+10
1368.9,-4.33476e+10,-4.2652e+10
1368.9,-4.35979e+10,-4.28986e+10
1380.9,-4.35979e+10,-4.28986e+10
1380.9,-4.3845e+10,-4.31419e+10
1393.0,-4.3845e+10,-4.31419e+10
1393.0,-4.40888e+10,-4.33818e+10
1405.0,-4.40888e+10,-4.33818e+10
1405.0,-4.43294e+10,-4.36185e+10
1417.0,-4.43294e+10,-4.36185e+10
1417.0,-4.45666e+10,-4.38518e+10
1429.0,-4.45666e+10,-4.38518e+10
1429.0,-4.48006e+10,-4.40823e+10
1441.0,-4.48006e+10,-4.40823e+10
1441.0,-4.50313e+10,-4.43096e+10
1453.0,-4.50313e+10,-4.43096e+10
1453.0,-4.52586e+10,-4.4533e+10
1465.0,-4.52586e+10,-4.4533e+10
1465.0,-4.54826e+10,-4.47537e+10
1477.0,-4.54826e+10,-4.47537e+10
1477.0,-4.57032e+10,-4.4971e+10
1489.0,-4.57032e+10,-4.4971e+10
1489.0,-4.59204e+10,-4.51846e+10
1501.0,-4.59204e+10,-4.51846e+10
1501.0,-4.61342e+10,-4.53948e+10
1513.0,-4.61342e+10,-4.53948e+10
1513.0,-4.63446e+10,-4.56022e+10
1525.0,-4.63446e+10,-4.56022e+10
1525.0,-4.65516e+10,-4.58059e+10
1537.1,-4.65516e+10,-4.58059e+10
1537.1,-4.67551e+10,-4.60063e+10
1549.1,-4.67551e+10,-4.60063e+10
1549.1,-4.69551e+10,-4.62029e+10
1561.1,-4.69551e+10,-4.62029e+10
1561.1,-4.71517e+10,-4.63966e+10
1573.1,-4.71517e+10,-4.63966e+10
1573.1,-4.73448e+10,-4.65866e+10
1585.1,-4.73448e+10,-4.65866e+10
1585.1,-4.75343e+10,-4.67733e+10
1597.1,-4.75343e+10,-4.67733e+10
1597.1,-4.77204e+10,-4.69562e+10
1609.1,-4.77204e+10,-4.69562e+10
1609.1,-4.79029e+10,-4.7134e+10
1621.1,-4.79029e+10,-4.7134e+10
1621.1,-4.80819e+10,-4.73131e+10
1633.1,-4.80819e+10,-4.73131e+10
1633.1,-4.82573e+10,-4.74829e+10
1645.1,-4.82573e+10,-4.74829e+10
1645.1,-4.84291e+10,-4.76526e+10
1657.1,-4.84291e+10,-4.76526e+10
1657.1,-4.85973e+10,-4.78176e+10
1669.1,-4.85973e+10,-4.78176e+10
1669.1,-4.8762e+10,-4.79826e+10
1681.2,-4.8762e+10,-4.79826e+10
1681.2,-4.8923e+10,-4.81382e+10
1693.2,-4.8923e+10,-4.81382e+10
1693.2,-4.90804e+10,-4.82938e+10
1705.2,-4.90804e+10,-4.82938e+10
1705.2,-4.92342e+10,-4.84447e+10
1717.2,-4.92342e+10,-4.84447e+10
1717.2,-4.93843e+10,-4.85955e+10
1729.2,-4.93843e+10,-4.85955e+10
1729.2,-4.95308e+10,-4.8737e+10
1741.2,-4.95308e+10,-4.8737e+10
1741.2,-4.96736e+10,-4.88784e+10
1753.2,-4.96736e+10,-4.88784e+10
1753.2,-4.98127e+10,-4.90152e+10
1765.2,-4.98127e+10,-4.90152e+10
1765.2,-4.99481e+10,-4.91472e+10
1777.2,-4.99481e+10,-4.91472e+10
1777.2,-5.00798e+10,-4.92792e+10
1789.2,-5.00798e+10,-4.92792e+10
1789.2,-5.02078e+10,-4.94065e+10
1801.2,-5.02078e+10,-4.94065e+10
1801.2,-5.03321e+10,-4.95291e+10
1813.2,-5.03321e+10,-4.95291e+10
1813.2,-5.04527e+10,-4.9647e+10
1825.2,-5.04527e+10,-4.9647e+10
1825.2,-5.05695e+10,-4.97602e+10
1837.3,-5.05695e+10,-4.97602e+10
1837.3,-5.06826e+10,-4.98733e+10
1849.3,-5.06826e+10,-4.98733e+10
1849.3,-5.07919e+10,-4.99818e+10
1861.3,-5.07919e+10,-4.99818e+10
1861.3,-5.08975e+10,-5.00855e+10
1873.3,-5.08975e+10,-5.00855e+10
1873.3,-5.09993e+10,-5.01845e+10
1885.3,-5.09993e+10,-5.01845e+10
1885.3,-5.10973e+10,-5.02789e+10
1897.3,-5.10973e+10,-5.02789e+10
1897.3,-5.11915e+10,-5.03732e+10
1909.3,-5.11915e+10,-5.03732e+10
1909.3,-5.1282e+10,-5.04628e+10
1921.3,-5.1282e+10,-5.04628e+10
1921.3,-5.13686e+10,-5.05476e+10
1933.3,-5.13686e+10,-5.05476e+10
1933.3,-5.14514e+10,-5.06278e+10
1945.3,-5.14514e+10,-5.06278e+10
1945.3,-5.15305e+10,-5.0708e+10
1957.3,-5.15305e+10,-5.0708e+10
1957.3,-5.16057e+10,-5.07787e+10
1969.3,-5.16057e+10,-5.07787e+10
1969.3,-5.1677e+10,-5.08495e+10
1981.4,-5.1677e+10,-5.08495e+10
1981.4,-5.17446e+10,-5.09155e+10
1993.4,-5.17446e+10,-5.09155e+10
1993.4,-5.18083e+10,-5.09815e+10
2005.4,-5.18083e+10,-5.09815e+10
2005.4,-5.18682e+10,-5.10381e+10
2017.4,-5.18682e+10,-5.10381e+10
2017.4,-5.19242e+10,-5.10947e+10
2029.4,-5.19242e+10,-5.10947e+10
2029.4,-5.19764e+10,-5.11466e+10
2041.4,-5.19764e+10,-5.11466e+10
2041.4,-5.20248e+10,-5.11938e+10
2053.4,-5.20248e+10,-5.11938e+10
2053.4,-5.20692e+10,-5.12363e+10
2065.4,-5.20692e+10,-5.12363e+10
2065.4,-5.21099e+10,-5.12787e+10
2077.4,-5.21099e+10,-5.12787e+10
2077.4,-5.21466e+10,-5.13118e+10
2089.4,-5.21466e+10,-5.13118e+10
2089.4,-5.21796e+10,-5.13448e+10
2101.4,-5.21796e+10,-5.13448e+10
2101.4,-5.22086e+10,-5.13731e+10
2113.4,-5.22086e+10,-5.13731e+10
2113.4,-5.22338e+10,-5.13967e+10
2125.5,-5.22338e+10,-5.13967e+10
2125.5,-5.22551e+10,-5.14203e+10
2137.5,-5.22551e+10,-5.14203e+10
2137.5,-5.22725e+10,-5.14345e+10
2149.5,-5.22725e+10,-5.14345e+10
2149.5,-5.22861e+10,-5.14487e+10
2161.5,-5.22861e+10,-5.14487e+10
2161.5,-5.22957e+10,-5.14582e+10
2173.5,-5.22957e+10,-5.14582e+10
2173.5,-5.23016e+10,-5.14629e+10
2185.5,-5.23016e+10,-5.14629e+10
2185.5,-5.23035e+10,-5.14677e+10
2197.5,-5.23035e+10,-5.14677e+10
2197.5,-5.23016e+10,-5.1463e+10
2209.5,-5.23016e+10,-5.1463e+10
2209.5,-5.22957e+10,-5.14583e+10
2221.5,-5.22957e+10,-5.14583e+10
2221.5,-5.22861e+10,-5.14489e+10
2233.5,-5.22861e+10,-5.14489e+10
2233.5,-5.22725e+10,-5.14348e+10
2245.5,-5.22725e+10,-5.14348e+10
2245.5,-5.22551e+10,-5.14207e+10
2257.5,-5.22551e+10,-5.14207e+10
2257.5,-5.22338e+10,-5.13972e+10
2269.6,-5.22338e+10,-5.13972e+10
2269.6,-5.22086e+10,-5.13736e+10
2281.6,-5.22086e+10,-5.13736e+10
2281.6,-5.21796e+10,-5.13454e+10
2293.6,-5.21796e+10,-5.13454e+10
2293.6,-5.21466e+10,-5.13124e+10
2305.6,-5.21466e+10,-5.13124e+10
2305.6,-5.21099e+10,-5.12748e+10
2317.6,-5.21099e+10,-5.12748e+10
2317.6,-5.20692e+10,-5.12371e+10
2329.6,-5.20692e+10,-5.12371e+10
2329.6,-5.20248e+10,-5.119e+10
2341.6,-5.20248e+10,-5.119e+10
2341.6,-5.19764e+10,-5.11429e+10
2353.6,-5.19764e+10,-5.11429e+10
2353.6,-5.19242e+10,-5.10911e+10
2365.6,-5.19242e+10,-5.10911e+10
2365.6,-5.18682e+10,-5.10392e+10
2377.6,-5.18682e+10,-5.10392e+10
2377.6,-5.18083e+10,-5.0978e+10
2389.6,-5.18083e+10,-5.0978e+10
2389.6,-5.17446e+10,-5.09168e+10
2401.6,-5.17446e+10,-5.09168e+10
2401.6,-5.1677e+10,-5.08508e+10
2413.7,-5.1677e+10,-5.08508e+10
2413.7,-5.16057e+10,-5.07801e+10
2425.7,-5.16057e+10,-5.07801e+10
2425.7,-5.15305e+10,-5.07047e+10
2437.7,-5.15305e+10,-5.07047e+10
2437.7,-5.14514e+10,-5.06294e+10
2449.7,-5.14514e+10,-5.06294e+10
2449.7,-5.13686e+10,-5.05445e+10
2461.7,-5.13686e+10,-5.05445e+10
2461.7,-5.1282e+10,-5.04597e+10
2473.7,-5.1282e+10,-5.04597e+10
2473.7,-5.11915e+10,-5.03702e+10
2485.7,-5.11915e+10,-5.03702e+10
2485.7,-5.10973e+10,-5.02807e+10
2497.7,-5.10973e+10,-5.02807e+10
2497.7,-5.09993e+10,-5.01817e+10
2509.7,-5.09993e+10,-5.01817e+10
2509.7,-5.08975e+10,-5.00828e+10
2521.7,-5.08975e+10,-5.00828e+10
2521.7,-5.07919e+10,-4.99791e+10
2533.7,-5.07919e+10,-4.99791e+10
2533.7,-5.06826e+10,-4.98707e+10
2545.7,-5.06826e+10,-4.98707e+10
2545.7,-5.05695e+10,-4.97576e+10
2557.8,-5.05695e+10,-4.97576e+10
2557.8,-5.04527e+10,-4.96445e+10
2569.8,-5.04527e+10,-4.96445e+10
2569.8,-5.03321e+10,-4.95267e+10
2581.8,-5.03321e+10,-4.95267e+10
2581.8,-5.02078e+10,-4.94042e+10
2593.8,-5.02078e+10,-4.94042e+10
2593.8,-5.00798e+10,-4.92769e+10
2605.8,-5.00798e+10,-4.92769e+10
2605.8,-4.99481e+10,-4.9145e+10
2617.8,-4.99481e+10,-4.9145e+10
2617.8,-4.98127e+10,-4.9013e+10
2629.8,-4.98127e+10,-4.9013e+10
2629.8,-4.96736e+10,-4.88763e+10
2641.8,-4.96736e+10,-4.88763e+10
2641.8,-4.95308e+10,-4.87349e+10
2653.8,-4.95308e+10,-4.87349e+10
2653.8,-4.93843e+10,-4.85936e+10
2665.8,-4.93843e+10,-4.85936e+10
2665.8,-4.92342e+10,-4.84427e+10
2677.8,-4.92342e+10,-4.84427e+10
2677.8,-4.90804e+10,-4.82919e+10
2689.8,-4.90804e+10,-4.82919e+10
2689.8,-4.8923e+10,-4.81364e+10
2701.8,-4.8923e+10,-4.81364e+10
2701.8,-4.8762e+10,-4.79809e+10
2713.9,-4.8762e+10,-4.79809e+10
2713.9,-4.85973e+10,-4.78159e+10
2725.9,-4.85973e+10,-4.78159e+10
2725.9,-4.84291e+10,-4.7651e+10
2737.9,-4.84291e+10,-4.7651e+10
2737.9,-4.82573e+10,-4.74813e+10
2749.9,-4.82573e+10,-4.74813e+10
2749.9,-4.80819e+10,-4.73116e+10
2761.9,-4.80819e+10,-4.73116e+10
2761.9,-4.79029e+10,-4.71325e+10
2773.9,-4.79029e+10,-4.71325e+10
2773.9,-4.77204e+10,-4.69539e+10
2785.9,-4.77204e+10,-4.69539e+10
2785.9,-4.75343e+10,-4.67705e+10
2797.9,-4.75343e+10,-4.67705e+10
2797.9,-4.73448e+10,-4.65839e+10
2809.9,-4.73448e+10,-4.65839e+10
2809.9,-4.71517e+10,-4.6394e+10
2821.9,-4.71517e+10,-4.6394e+10
2821.9,-4.69551e+10,-4.62002e+10
2833.9,-4.69551e+10,-4.62002e+10
2833.9,-4.67551e+10,-4.60037e+10
2845.9,-4.67551e+10,-4.60037e+10
2845.9,-4.65516e+10,-4.58034e+10
2858.0,-4.65516e+10,-4.58034e+10
2858.0,-4.63446e+10,-4.55993e+10
2870.0,-4.63446e+10,-4.55993e+10
2870.0,-4.61342e+10,-4.53924e+10
2882.0,-4.61342e+10,-4.53924e+10
2882.0,-4.59204e+10,-4.51817e+10
2894.0,-4.59204e+10,-4.51817e+10
2894.0,-4.57032e+10,-4.49682e+10
2906.0,-4.57032e+10,-4.49682e+10
2906.0,-4.54826e+10,-4.47509e+10
2918.0,-4.54826e+10,-4.47509e+10
2918.0,-4.52586e+10,-4.45303e+10
2930.0,-4.52586e+10,-4.45303e+10
2930.0,-4.50313e+10,-4.43064e+10
2942.0,-4.50313e+10,-4.43064e+10
2942.0,-4.48006e+10,-4.40792e+10
2954.0,-4.48006e+10,-4.40792e+10
2954.0,-4.45666e+10,-4.38492e+10
2966.0,-4.45666e+10,-4.38492e+10
2966.0,-4.43294e+10,-4.36154e+10
2978.0,-4.43294e+10,-4.36154e+10
2978.0,-4.40888e+10,-4.33788e+10
2990.0,-4.40888e+10,-4.33788e+10
2990.0,-4.3845e+10,-4.31384e+10
3002.1,-4.3845e+10,-4.31384e+10
3002.1,-4.35979e+10,-4.28952e+10
3014.1,-4.35979e+10,-4.28952e+10
3014.1,-4.33476e+10,-4.26492e+10
3026.1,-4.33476e+10,-4.26492e+10
3026.1,-4.30941e+10,-4.23993e+10
3038.1,-4.30941e+10,-4.23993e+10
3038.1,-4.28373e+10,-4.21467e+10
3050.1,-4.28373e+10,-4.21467e+10
3050.1,-4.25775e+10,-4.18908e+10
3062.1,-4.25775e+10,-4.18908e+10
3062.1,-4.23144e+10,-4.1632e+10
3074.1,-4.23144e+10,-4.1632e+10
3074.1,-4.20482e+10,-4.13699e+10
3086.1,-4.20482e+10,-4.13699e+10
3086.1,-4.1779e+10,-4.1105e+10
3098.1,-4.1779e+10,-4.1105e+10
3098.1,-4.15066e+10,-4.08368e+10
3110.1,-4.15066e+10,-4.08368e+10
3110.1,-4.12311e+10,-4.05653e+10
3122.1,-4.12311e+10,-4.05653e+10
3122.1,-4.09526e+10,-4.02914e+10
3134.1,-4.09526e+10,-4.02914e+10
3134.1,-4.0671e+10,-4.00143e+10
3146.2,-4.0671e+10,-4.00143e+10
3146.2,-4.03865e+10,-3.97343e+10
3158.2,-4.03865e+10,-3.97343e+10
3158.2,-4.00989e+10,-3.9451e+10
3170.2,-4.00989e+10,-3.9451e+10
3170.2,-3.98084e+10,-3.91649e+10
3182.2,-3.98084e+10,-3.91649e+10
3182.2,-3.95149e+10,-3.88759e+10
3194.2,-3.95149e+10,-3.88759e+10
3194.2,-3.92185e+10,-3.85841e+10
3206.2,-3.92185e+10,-3.85841e+10
3206.2,-3.89192e+10,-3.82895e+10
3218.2,-3.89192e+10,-3.82895e+10
3218.2,-3.8617e+10,-3.79921e+10
3230.2,-3.8617e+10,-3.79921e+10
3230.2,-3.8312e+10,-3.76918e+10
3242.2,-3.8312e+10,-3.76918e+10
3242.2,-3.80041e+10,-3.73887e+10
3254.2,-3.80041e+10,-3.73887e+10
3254.2,-3.76934e+10,-3.70828e+10
3266.2,-3.76934e+10,-3.70828e+10
3266.2,-3.73799e+10,-3.67745e+10
3278.2,-3.73799e+10,-3.67745e+10
3278.2,-3.70637e+10,-3.6463e+10
3290.3,-3.70637e+10,-3.6463e+10
3290.3,-3.67446e+10,-3.6149e+10
3302.3,-3.67446e+10,-3.6149e+10
3302.3,-3.64229e+10,-3.58323e+10
3314.3,-3.64229e+10,-3.58323e+10
3314.3,-3.60985e+10,-3.55131e+10
3326.3,-3.60985e+10,-3.55131e+10
3326.3,-3.57714e+10,-3.51907e+10
3338.3,-3.57714e+10,-3.51907e+10
3338.3,-3.54416e+10,-3.48664e+10
3350.3,-3.54416e+10,-3.48664e+10
3350.3,-3.51092e+10,-3.45393e+10
3362.3,-3.51092e+10,-3.45393e+10
3362.3,-3.47743e+10,-3.42093e+10
3374.3,-3.47743e+10,-3.42093e+10
3374.3,-3.44367e+10,-3.3877e+10
3386.3,-3.44367e+10,-3.3877e+10
3386.3,-3.40966e+10,-3.35423e+10
3398.3,-3.40966e+10,-3.35423e+10
3398.3,-3.3754e+10,-3.32053e+10
3410.3,-3.3754e+10,-3.32053e+10
3410.3,-3.34088e+10,-3.28654e+10
3422.3,-3.34088e+10,-3.28654e+10
3422.3,-3.30612e+10,-3.25232e+10
3434.4,-3.30612e+10,-3.25232e+10
3434.4,-3.27112e+10,-3.21786e+10
3446.4,-3.27112e+10,-3.21786e+10
3446.4,-3.23587e+10,-3.18316e+10
3458.4,-3.23587e+10,-3.18316e+10
3458.4,-3.20038e+10,-3.14823e+10
3470.4,-3.20038e+10,-3.14823e+10
3470.4,-3.16465e+10,-3.11307e+10
3482.4,-3.16465e+10,-3.11307e+10
3482.4,-3.1287e+10,-3.07767e+10
3494.4,-3.1287e+10,-3.07767e+10
3494.4,-3.0925e+10,-3.04203e+10
3506.4,-3.0925e+10,-3.04203e+10
3506.4,-3.05608e+10,-3.0062e+10
3518.4,-3.05608e+10,-3.0062e+10
3518.4,-3.01944e+10,-2.9701e+10
3530.4,-3.01944e+10,-2.9701e+10
3530.4,-2.98257e+10,-2.9338e+10
3542.4,-2.98257e+10,-2.9338e+10
3542.4,-2.94548e+10,-2.89731e+10
3554.4,-2.94548e+10,-2.89731e+10
3554.4,-2.90817e+10,-2.86059e+10
3566.4,-2.90817e+10,-2.86059e+10
3566.4,-2.87064e+10,-2.82363e+10
3578.4,-2.87064e+10,-2.82363e+10
3578.4,-2.8329e+10,-2.78649e+10
3590.5,-2.8329e+10,-2.78649e+10
3590.5,-2.79496e+10,-2.74915e+10
3602.5,-2.79496e+10,-2.74915e+10
3602.5,-2.7568e+10,-2.71158e+10
3614.5,-2.7568e+10,-2.71158e+10
3614.5,-2.71844e+10,-2.67382e+10
3626.5,-2.71844e+10,-2.67382e+10
3626.5,-2.67988e+10,-2.63588e+10
3638.5,-2.67988e+10,-2.63588e+10
3638.5,-2.64112e+10,-2.59769e+10
3650.5,-2.64112e+10,-2.59769e+10
3650.5,-2.60217e+10,-2.55937e+10
3662.5,-2.60217e+10,-2.55937e+10
3662.5,-2.56302e+10,-2.52081e+10
3674.5,-2.56302e+10,-2.52081e+10
3674.5,-2.52368e+10,-2.48211e+10
3686.5,-2.52368e+10,-2.48211e+10
