Time (hrs),Target Heat (J),Simulated Heat (J)
0.0,-2.2509e+08,-1.79714e+08
12.0,-2.2509e+08,-1.79714e+08
12.0,-6.75254e+08,-5.90514e+08
24.0,-6.75254e+08,-5.90514e+08
24.0,-1.12537e+09,-1.05582e+09
36.0,-1.12537e+09,-1.05582e+09
36.0,-1.5754e+09,-1.51388e+09
48.0,-1.5754e+09,-1.51388e+09
48.0,-2.02531e+09,-1.96147e+09
60.0,-2.02531e+09,-1.96147e+09
60.0,-2.47507e+09,-2.40625e+09
72.0,-2.47507e+09,-2.40625e+09
72.0,-2.92465e+09,-2.85004e+09
84.1,-2.92465e+09,-2.85004e+09
84.1,-3.37402e+09,-3.29329e+09
96.1,-3.37402e+09,-3.29329e+09
96.1,-3.82313e+09,-3.7362e+09
108.1,-3.82313e+09,-3.7362e+09
108.1,-4.27196e+09,-4.17865e+09
120.1,-4.27196e+09,-4.17865e+09
120.1,-4.72047e+09,-4.62075e+09
132.1,-4.72047e+09,-4.62075e+09
132.1,-5.16864e+09,-5.06258e+09
144.1,-5.16864e+09,-5.06258e+09
144.1,-5.61642e+09,-5.50356e+09
156.1,-5.61642e+09,-5.50356e+09
156.1,-6.06378e+09,-5.94447e+09
168.1,-6.06378e+09,-5.94447e+09
168.1,-6.5107e+09,-6.38484e+09
180.1,-6.5107e+09,-6.38484e+09
180.1,-6.95713e+09,-6.82467e+09
192.1,-6.95713e+09,-6.82467e+09
192.1,-7.40305e+09,-7.26396e+09
204.1,-7.40305e+09,-7.26396e+09
204.1,-7.84842e+09,-7.70274e+09
216.1,-7.84842e+09,-7.70274e+09
216.1,-8.29321e+09,-8.14099e+09
228.2,-8.29321e+09,-8.14099e+09
228.2,-8.73738e+09,-8.57826e+09
240.2,-8.73738e+09,-8.57826e+09
240.2,-9.18091e+09,-9.01501e+09
252.2,-9.18091e+09,-9.01501e+09
252.2,-9.62376e+09,-9.45126e+09
264.2,-9.62376e+09,-9.45126e+09
264.2,-1.00659e+10,-9.88654e+09
276.2,-1.00659e+10,-9.88654e+09
276.2,-1.05073e+10,-1.03213e+10
288.2,-1.05073e+10,-1.03213e+10
288.2,-1.09479e+10,-1.07551e+10
300.2,-1.09479e+10,-1.07551e+10
300.2,-1.13877e+10,-1.11884e+10
312.2,-1.13877e+10,-1.11884e+10
312.2,-1.18266e+10,-1.16203e+10
324.2,-1.18266e+10,-1.16203e+10
324.2,-1.22647e+10,-1.20517e+10
336.2,-1.22647e+10,-1.20517e+10
336.2,-1.27019e+10,-1.24822e+10
348.2,-1.27019e+10,-1.24822e+10
348.2,-1.31381e+10,-1.29116e+10
360.2,-1.31381e+10,-1.29116e+10
360.2,-1.35734e+10,-1.33402e+10
372.3,-1.35734e+10,-1.33402e+10
372.3,-1.40076e+10,-1.37677e+10
384.3,-1.40076e+10,-1.37677e+10
384.3,-1.44408e+10,-1.41944e+10
396.3,-1.44408e+10,-1.41944e+10
396.3,-1.4873e+10,-1.462e+10
408.3,-1.4873e+10,-1.462e+10
408.3,-1.5304e+10,-1.50443e+10
420.3,-1.5304e+10,-1.50443e+10
420.3,-1.57339e+10,-1.54676e+10
432.3,-1.57339e+10,-1.54676e+10
432.3,-1.61627e+10,-1.58895e+10
444.3,-1.61627e+10,-1.58895e+10
444.3,-1.65902e+10,-1.63104e+10
456.3,-1.65902e+10,-1.63104e+10
456.3,-1.70165e+10,-1.67304e+10
468.3,-1.70165e+10,-1.67304e+10
468.3,-1.74416e+10,-1.7149e+10
480.3,-1.74416e+10,-1.7149e+10
480.3,-1.78653e+10,-1.75662e+10
492.3,-1.78653e+10,-1.75662e+10
492.3,-1.82878e+10,-1.79819e+10
504.3,-1.82878e+10,-1.79819e+10
504.3,-1.87089e+10,-1.83967e+10
516.4,-1.87089e+10,-1.83967e+10
516.4,-1.91286e+10,-1.88096e+10
528.4,-1.91286e+10,-1.88096e+10
528.4,-1.95468e+10,-1.92216e+10
540.4,-1.95468e+10,-1.92216e+10
540.4,-1.99637e+10,-1.96317e+10
552.4,-1.99637e+10,-1.96317e+10
552.4,-2.0379e+10,-2.00408e+10
564.4,-2.0379e+10,-2.00408e+10
564.4,-2.07929e+10,-2.04481e+10
576.4,-2.07929e+10,-2.04481e+10
576.4,-2.12052e+10,-2.08539e+10
588.4,-2.12052e+10,-2.08539e+10
588.4,-2.16159e+10,-2.12583e+10
600.4,-2.16159e+10,-2.12583e+10
600.4,-2.2025e+10,-2.16614e+10
612.4,-2.2025e+10,-2.16614e+10
612.4,-2.24325e+10,-2.20625e+10
624.4,-2.24325e+10,-2.20625e+10
624.4,-2.28384e+10,-2.24622e+10
636.4,-2.28384e+10,-2.24622e+10
636.4,-2.32425e+10,-2.286e+10
648.4,-2.32425e+10,-2.286e+10
648.4,-2.3645e+10,-2.3256e+10
660.5,-2.3645e+10,-2.3256e+10
660.5,-2.40456e+10,-2.36505e+10
672.5,-2.40456e+10,-2.36505e+10
672.5,-2.44445e+10,-2.40432e+10
684.5,-2.44445e+10,-2.40432e+10
684.5,-2.48416e+10,-2.44339e+10
696.5,-2.48416e+10,-2.44339e+10
696.5,-2.52368e+10,-2.48233e+10
708.5,-2.52368e+10,-2.48233e+10
708.5,-2.56302e+10,-2.52107e+10
720.5,-2.56302e+10,-2.52107e+10
720.5,-2.60217e+10,-2.55958e+10
732.5,-2.60217e+10,-2.55958e+10
732.5,-2.64112e+10,-2.59795e+10
744.5,-2.64112e+10,-2.59795e+10
744.5,-2.67988e+10,-2.63609e+10
756.5,-2.67988e+10,-2.63609e+10
756.5,-2.71844e+10,-2.67408e+10
768.5,-2.71844e+10,-2.67408e+10
768.5,-2.7568e+10,-2.71183e+10
780.5,-2.7568e+10,-2.71183e+10
780.5,-2.79496e+10,-2.7494e+10
792.5,-2.79496e+10,-2.7494e+10
792.5,-2.8329e+10,-2.78674e+10
804.6,-2.8329e+10,-2.78674e+10
804.6,-2.87064e+10,-2.82388e+10
816.6,-2.87064e+10,-2.82388e+10
816.6,-2.90817e+10,-2.86083e+10
828.6,-2.90817e+10,-2.86083e+10
828.6,-2.94548e+10,-2.89755e+10
840.6,-2.94548e+10,-2.89755e+10
840.6,-2.98257e+10,-2.93409e+10
852.6,-2.98257e+10,-2.93409e+10
852.6,-3.01944e+10,-2.97038e+10
864.6,-3.01944e+10,-2.97038e+10
864.6,-3.05608e+10,-3.00644e+10
876.6,-3.05608e+10,-3.00644e+10
