Time (hrs),Storage Well Q(kg/s),Balance Well Q(kg/s),Storage Well T(C),Balance Well T(C)
0.0,0.0477852,-0.0477852,30.059754,30.059754
12.0,0.0477852,-0.0477852,29.823361,30.195798
12.0,0.142238,-0.142238,29.823361,30.195798
24.0,0.142238,-0.142238,28.246537,30.307255
24.0,0.23616,-0.23616,28.246537,30.307255
36.0,0.23616,-0.23616,22.768588,30.365826
36.0,0.330198,-0.330198,22.768588,30.365826
48.0,0.330198,-0.330198,16.206610,30.400570
48.0,0.424131,-0.424131,16.206610,30.400570
60.0,0.424131,-0.424131,12.356351,30.423108
60.0,0.517996,-0.517996,12.356351,30.423108
72.0,0.517996,-0.517996,10.299642,30.438632
72.0,0.611808,-0.611808,10.299642,30.438632
84.1,0.611808,-0.611808,8.986879,30.449772
84.1,0.705572,-0.705572,8.986879,30.449772
96.1,0.705572,-0.705572,8.057050,30.458005
96.1,0.799286,-0.799286,8.057050,30.458005
108.1,0.799286,-0.799286,7.361428,30.464223
108.1,0.892945,-0.892945,7.361428,30.464223
120.1,0.892945,-0.892945,6.823552,30.468997
120.1,0.986544,-0.986544,6.823552,30.468997
132.1,0.986544,-0.986544,6.398175,30.472709
132.1,1.08008,-1.08008,6.398175,30.472709
144.1,1.08008,-1.08008,6.056150,30.475625
144.1,1.17354,-1.17354,6.056150,30.475625
156.1,1.17354,-1.17354,5.777692,30.477933
156.1,1.26692,-1.26692,5.777692,30.477933
168.1,1.26692,-1.26692,5.548543,30.479772
168.1,1.36021,-1.36021,5.548543,30.479772
180.1,1.36021,-1.36021,5.358383,30.481243
180.1,1.45341,-1.45341,5.358383,30.481243
192.1,1.45341,-1.45341,5.199419,30.482426
192.1,1.5465,-1.5465,5.199419,30.482426
204.1,1.5465,-1.5465,5.065677,30.483378
204.1,1.63949,-1.63949,5.065677,30.483378
216.1,1.63949,-1.63949,4.952504,30.484147
216.1,1.73236,-1.73236,4.952504,30.484147
228.2,1.73236,-1.73236,4.856234,30.484769
228.2,1.8251,-1.8251,4.856234,30.484769
240.2,1.8251,-1.8251,4.773970,30.485272
240.2,1.91772,-1.91772,4.773970,30.485272
252.2,1.91772,-1.91772,4.703333,30.485679
252.2,2.01019,-2.01019,4.703333,30.485679
264.2,2.01019,-2.01019,4.642412,30.486008
264.2,2.10252,-2.10252,4.642412,30.486008
276.2,2.10252,-2.10252,4.589670,30.486274
276.2,2.1947,-2.1947,4.589670,30.486274
288.2,2.1947,-2.1947,4.543806,30.486489
288.2,2.28671,-2.28671,4.543806,30.486489
300.2,2.28671,-2.28671,4.503780,30.486661
300.2,2.37856,-2.37856,4.503780,30.486661
312.2,2.37856,-2.37856,4.468699,30.486801
312.2,2.47023,-2.47023,4.468699,30.486801
324.2,2.47023,-2.47023,4.437857,30.486912
324.2,2.56173,-2.56173,4.437857,30.486912
336.2,2.56173,-2.56173,4.410617,30.487001
336.2,2.65303,-2.65303,4.410617,30.487001
348.2,2.65303,-2.65303,4.386477,30.487072
348.2,2.74414,-2.74414,4.386477,30.487072
360.2,2.74414,-2.74414,4.365002,30.487129
360.2,2.83504,-2.83504,4.365002,30.487129
372.3,2.83504,-2.83504,4.345828,30.487174
372.3,2.92574,-2.92574,4.345828,30.487174
384.3,2.92574,-2.92574,4.328644,30.487209
384.3,3.01622,-3.01622,4.328644,30.487209
396.3,3.01622,-3.01622,4.313186,30.487237
396.3,3.10648,-3.10648,4.313186,30.487237
408.3,3.10648,-3.10648,4.299231,30.487260
408.3,3.19651,-3.19651,4.299231,30.487260
420.3,3.19651,-3.19651,4.286594,30.487277
420.3,3.2863,-3.2863,4.286594,30.487277
432.3,3.2863,-3.2863,4.275103,30.487292
432.3,3.37585,-3.37585,4.275103,30.487292
444.3,3.37585,-3.37585,4.264625,30.487303
444.3,3.46515,-3.46515,4.264625,30.487303
456.3,3.46515,-3.46515,4.255031,30.487313
456.3,3.55419,-3.55419,4.255031,30.487313
468.3,3.55419,-3.55419,4.246218,30.487321
468.3,3.64297,-3.64297,4.246218,30.487321
480.3,3.64297,-3.64297,4.238101,30.487329
480.3,3.73148,-3.73148,4.238101,30.487329
492.3,3.73148,-3.73148,4.230601,30.487336
492.3,3.81971,-3.81971,4.230601,30.487336
504.3,3.81971,-3.81971,4.223652,30.487343
504.3,3.90766,-3.90766,4.223652,30.487343
516.4,3.90766,-3.90766,4.217189,30.487350
516.4,3.99532,-3.99532,4.217189,30.487350
528.4,3.99532,-3.99532,4.211170,30.487357
528.4,4.08268,-4.08268,4.211170,30.487357
540.4,4.08268,-4.08268,4.205541,30.487364
540.4,4.16974,-4.16974,4.205541,30.487364
552.4,4.16974,-4.16974,4.200272,30.487372
552.4,4.2565,-4.2565,4.200272,30.487372
564.4,4.2565,-4.2565,4.195319,30.487381
564.4,4.34293,-4.34293,4.195319,30.487381
576.4,4.34293,-4.34293,4.190660,30.487390
576.4,4.42905,-4.42905,4.190660,30.487390
588.4,4.42905,-4.42905,4.186266,30.487400
588.4,4.51483,-4.51483,4.186266,30.487400
600.4,4.51483,-4.51483,4.182111,30.487410
600.4,4.60029,-4.60029,4.182111,30.487410
612.4,4.60029,-4.60029,4.178174,30.487422
612.4,4.6854,-4.6854,4.178174,30.487422
624.4,4.6854,-4.6854,4.174442,30.487434
624.4,4.77016,-4.77016,4.174442,30.487434
636.4,4.77016,-4.77016,4.170894,30.487446
636.4,4.85457,-4.85457,4.170894,30.487446
648.4,4.85457,-4.85457,4.167518,30.487460
648.4,4.93862,-4.93862,4.167518,30.487460
660.5,4.93862,-4.93862,4.164301,30.487474
660.5,5.0223,-5.0223,4.164301,30.487474
672.5,5.0223,-5.0223,4.161229,30.487489
672.5,5.10562,-5.10562,4.161229,30.487489
684.5,5.10562,-5.10562,4.158292,30.487504
684.5,5.18855,-5.18855,4.158292,30.487504
696.5,5.18855,-5.18855,4.155483,30.487520
696.5,5.2711,-5.2711,4.155483,30.487520
708.5,5.2711,-5.2711,4.152788,30.487537
708.5,5.35326,-5.35326,4.152788,30.487537
720.5,5.35326,-5.35326,4.150204,30.487555
720.5,5.43502,-5.43502,4.150204,30.487555
732.5,5.43502,-5.43502,4.147725,30.487573
732.5,5.51637,-5.51637,4.147725,30.487573
744.5,5.51637,-5.51637,4.145341,30.487591
744.5,5.59732,-5.59732,4.145341,30.487591
756.5,5.59732,-5.59732,4.143049,30.487610
756.5,5.67786,-5.67786,4.143049,30.487610
768.5,5.67786,-5.67786,4.140839,30.487630
768.5,5.75797,-5.75797,4.140839,30.487630
780.5,5.75797,-5.75797,4.138712,30.487650
780.5,5.83766,-5.83766,4.138712,30.487650
792.5,5.83766,-5.83766,4.136661,30.487671
792.5,5.91691,-5.91691,4.136661,30.487671
804.6,5.91691,-5.91691,4.134683,30.487692
804.6,5.99573,-5.99573,4.134683,30.487692
816.6,5.99573,-5.99573,4.132772,30.487713
816.6,6.0741,-6.0741,4.132772,30.487713
828.6,6.0741,-6.0741,4.130924,30.487735
828.6,6.15202,-6.15202,4.130924,30.487735
840.6,6.15202,-6.15202,4.129140,30.487758
840.6,6.22949,-6.22949,4.129140,30.487758
852.6,6.22949,-6.22949,4.127412,30.487781
852.6,6.30649,-6.30649,4.127412,30.487781
864.6,6.30649,-6.30649,4.125741,30.487804
864.6,6.38303,-6.38303,4.125741,30.487804
876.6,6.38303,-6.38303,4.124124,30.487828
876.6,6.45909,-6.45909,4.124124,30.487828
888.6,6.45909,-6.45909,4.122555,30.487852
888.6,6.53467,-6.53467,4.122555,30.487852
900.6,6.53467,-6.53467,4.121036,30.487876
900.6,6.60977,-6.60977,4.121036,30.487876
912.6,6.60977,-6.60977,4.119563,30.487901
912.6,6.68438,-6.68438,4.119563,30.487901
924.6,6.68438,-6.68438,4.118135,30.487926
924.6,6.7585,-6.7585,4.118135,30.487926
936.6,6.7585,-6.7585,4.116748,30.487951
936.6,6.83211,-6.83211,4.116748,30.487951
948.6,6.83211,-6.83211,4.115403,30.487977
948.6,6.90522,-6.90522,4.115403,30.487977
960.7,6.90522,-6.90522,4.114096,30.488003
960.7,6.97781,-6.97781,4.114096,30.488003
972.7,6.97781,-6.97781,4.112827,30.488029
972.7,7.04989,-7.04989,4.112827,30.488029
984.7,7.04989,-7.04989,4.111594,30.488055
984.7,7.12145,-7.12145,4.111594,30.488055
996.7,7.12145,-7.12145,4.110396,30.488082
996.7,7.19247,-7.19247,4.110396,30.488082
1008.7,7.19247,-7.19247,4.109230,30.488109
1008.7,7.26297,-7.26297,4.109230,30.488109
1020.7,7.26297,-7.26297,4.108097,30.488136
1020.7,7.33293,-7.33293,4.108097,30.488136
1032.7,7.33293,-7.33293,4.106995,30.488164
1032.7,7.40234,-7.40234,4.106995,30.488164
1044.7,7.40234,-7.40234,4.105923,30.488192
1044.7,7.4712,-7.4712,4.105923,30.488192
1056.7,7.4712,-7.4712,4.104879,30.488220
1056.7,7.53951,-7.53951,4.104879,30.488220
1068.7,7.53951,-7.53951,4.103863,30.488248
1068.7,7.60727,-7.60727,4.103863,30.488248
1080.7,7.60727,-7.60727,4.102874,30.488276
1080.7,7.67446,-7.67446,4.102874,30.488276
1092.7,7.67446,-7.67446,4.101910,30.488305
1092.7,7.74107,-7.74107,4.101910,30.488305
1104.8,7.74107,-7.74107,4.100973,30.488334
1104.8,7.80712,-7.80712,4.100973,30.488334
1116.8,7.80712,-7.80712,4.100060,30.488363
1116.8,7.87259,-7.87259,4.100060,30.488363
1128.8,7.87259,-7.87259,4.099169,30.488392
1128.8,7.93747,-7.93747,4.099169,30.488392
1140.8,7.93747,-7.93747,4.098301,30.488422
1140.8,8.00177,-8.00177,4.098301,30.488422
1152.8,8.00177,-8.00177,4.097455,30.488452
1152.8,8.06547,-8.06547,4.097455,30.488452
1164.8,8.06547,-8.06547,4.096631,30.488481
1164.8,8.12858,-8.12858,4.096631,30.488481
1176.8,8.12858,-8.12858,4.095828,30.488511
1176.8,8.19108,-8.19108,4.095828,30.488511
1188.8,8.19108,-8.19108,4.095044,30.488542
1188.8,8.25297,-8.25297,4.095044,30.488542
1200.8,8.25297,-8.25297,4.094280,30.488572
1200.8,8.31426,-8.31426,4.094280,30.488572
1212.8,8.31426,-8.31426,4.093534,30.488603
1212.8,8.37493,-8.37493,4.093534,30.488603
1224.8,8.37493,-8.37493,4.092808,30.488633
1224.8,8.43497,-8.43497,4.092808,30.488633
1236.8,8.43497,-8.43497,4.092099,30.488664
1236.8,8.4944,-8.4944,4.092099,30.488664
1248.9,8.4944,-8.4944,4.091407,30.488695
1248.9,8.55319,-8.55319,4.091407,30.488695
1260.9,8.55319,-8.55319,4.090732,30.488726
1260.9,8.61135,-8.61135,4.090732,30.488726
1272.9,8.61135,-8.61135,4.090074,30.488758
1272.9,8.66887,-8.66887,4.090074,30.488758
1284.9,8.66887,-8.66887,4.089431,30.488789
1284.9,8.72575,-8.72575,4.089431,30.488789
1296.9,8.72575,-8.72575,4.088804,30.488821
1296.9,8.78198,-8.78198,4.088804,30.488821
1308.9,8.78198,-8.78198,4.088192,30.488853
1308.9,8.83756,-8.83756,4.088192,30.488853
1320.9,8.83756,-8.83756,4.087594,30.488884
1320.9,8.89249,-8.89249,4.087594,30.488884
1332.9,8.89249,-8.89249,4.087011,30.488916
1332.9,8.94675,-8.94675,4.087011,30.488916
1344.9,8.94675,-8.94675,4.086442,30.488949
1344.9,9.00036,-9.00036,4.086442,30.488949
1356.9,9.00036,-9.00036,4.085886,30.488981
1356.9,9.0533,-9.0533,4.085886,30.488981
1368.9,9.0533,-9.0533,4.085345,30.489013
1368.9,9.10556,-9.10556,4.085345,30.489013
1380.9,9.10556,-9.10556,4.084815,30.489046
1380.9,9.15715,-9.15715,4.084815,30.489046
1393.0,9.15715,-9.15715,4.084298,30.489078
1393.0,9.20807,-9.20807,4.084298,30.489078
1405.0,9.20807,-9.20807,4.083794,30.489111
1405.0,9.2583,-9.2583,4.083794,30.489111
1417.0,9.2583,-9.2583,4.083302,30.489144
1417.0,9.30784,-9.30784,4.083302,30.489144
1429.0,9.30784,-9.30784,4.082822,30.489177
1429.0,9.3567,-9.3567,4.082822,30.489177
1441.0,9.3567,-9.3567,4.082353,30.489210
1441.0,9.40486,-9.40486,4.082353,30.489210
1453.0,9.40486,-9.40486,4.081895,30.489243
1453.0,9.45233,-9.45233,4.081895,30.489243
1465.0,9.45233,-9.45233,4.081449,30.489276
1465.0,9.49909,-9.49909,4.081449,30.489276
