,Depth (m),Number of Prod Wells,Number of Inj Wells,Maximum Reservoir Temperature (deg.C),Wellfield Cost ($M),Surface Plant Cost ($M),Exploration Cost ($M),Field Gathering System Cost ($M),Wellfield O&M Cost ($M/year),Surface Plant O&M Cost ($M/year),Make-Up Water O&M Cost ($M/year),Average Reservoir Heat Extraction (MWth),Average Total Electricity Generation (MWe),Lifetime
222,1.3,2,4,400.0,17.43,17.07,3.43,3.11,0.31,0.58,0.07,1.97,1.97,35
336,1.3,2,5,400.0,20.34,17.07,3.43,3.57,0.35,0.58,0.07,1.97,1.97,35
181,1.3,2,6,400.0,23.24,17.07,3.43,4.03,0.38,0.58,0.07,1.97,1.97,35
113,1.3,3,3,400.0,17.43,22.33,3.43,3.33,0.38,0.86,0.11,2.96,2.96,35
150,1.3,3,4,400.0,20.34,22.33,3.43,3.74,0.42,0.86,0.11,2.96,2.96,35
46,1.3,3,5,400.0,23.24,22.33,3.43,4.17,0.45,0.86,0.11,2.96,2.96,35
199,1.3,3,6,400.0,26.15,22.33,3.43,4.62,0.48,0.86,0.11,2.96,2.96,35
102,1.3,4,4,400.0,23.24,26.95,3.43,4.38,0.5,1.07,0.15,3.95,3.95,35
93,1.3,4,5,400.0,26.15,26.95,3.43,4.79,0.53,1.07,0.15,3.95,3.95,35
247,1.3,4,6,400.0,29.05,26.95,3.43,5.22,0.56,1.07,0.15,3.95,3.95,35
291,1.3,5,5,400.0,29.05,31.15,3.43,5.42,0.6,1.24,0.18,4.94,4.94,35
133,1.3,5,6,400.0,31.96,31.15,3.43,5.84,0.64,1.24,0.18,4.94,4.94,35
67,1.3,6,6,400.0,34.86,35.03,3.43,6.45,0.7,1.39,0.22,5.92,5.92,35
185,1.4,1,1,400.0,6.24,12.06,3.58,1.19,0.14,0.38,0.04,1.16,1.16,35
340,1.4,1,2,400.0,9.36,12.06,3.58,1.59,0.17,0.38,0.04,1.16,1.16,35
219,1.4,1,3,400.0,12.48,12.06,3.58,2.04,0.21,0.38,0.04,1.16,1.16,35
269,1.4,1,4,400.0,15.59,12.06,3.58,2.5,0.25,0.38,0.04,1.16,1.16,35
283,1.4,1,5,400.0,18.71,12.06,3.58,2.97,0.28,0.38,0.04,1.16,1.16,35
130,1.4,1,6,400.0,21.83,12.06,3.58,3.45,0.32,0.38,0.04,1.16,1.16,35
206,1.4,2,2,400.0,12.48,19.37,3.58,2.28,0.29,0.73,0.07,2.32,2.32,35
376,1.4,2,3,400.0,15.59,19.37,3.58,2.68,0.33,0.73,0.07,2.32,2.32,35
326,1.4,2,4,400.0,18.71,19.37,3.58,3.11,0.36,0.73,0.07,2.32,2.32,35
255,1.4,2,5,400.0,21.83,19.37,3.58,3.56,0.4,0.73,0.07,2.32,2.32,35
71,1.4,2,6,400.0,24.95,19.37,3.58,4.03,0.44,0.73,0.07,2.32,2.32,35
10,1.4,3,3,400.0,18.71,25.47,3.58,3.33,0.43,1.02,0.11,3.48,3.48,35
48,1.4,3,4,400.0,21.83,25.47,3.58,3.74,0.47,1.02,0.11,3.48,3.48,35
128,1.4,3,5,400.0,24.95,25.47,3.58,4.17,0.5,1.02,0.11,3.48,3.48,35
308,1.4,3,6,400.0,28.07,25.47,3.58,4.62,0.54,1.02,0.11,3.48,3.48,35
2,1.4,4,4,400.0,24.95,30.89,3.58,4.38,0.55,1.24,0.15,4.64,4.64,35
172,1.4,4,5,400.0,28.07,30.89,3.58,4.79,0.59,1.24,0.15,4.64,4.64,35
352,1.4,4,6,400.0,31.19,30.89,3.58,5.22,0.62,1.24,0.15,4.64,4.64,35
210,1.4,5,5,400.0,31.19,35.84,3.58,5.42,0.66,1.42,0.18,5.8,5.8,35
24,1.4,5,6,400.0,34.31,35.84,3.58,5.83,0.7,1.42,0.18,5.8,5.8,35
177,1.4,6,6,400.0,37.43,40.44,3.58,6.45,0.76,1.58,0.22,6.95,6.95,35
293,1.5,1,1,400.0,6.68,13.38,3.75,1.19,0.14,0.4,0.04,1.35,1.35,35
140,1.5,1,2,400.0,10.02,13.38,3.75,1.59,0.18,0.4,0.04,1.35,1.35,35
60,1.5,1,3,400.0,13.35,13.38,3.75,2.04,0.22,0.4,0.04,1.35,1.35,35
20,1.5,1,4,400.0,16.69,13.38,3.75,2.5,0.26,0.4,0.04,1.35,1.35,35
175,1.5,1,5,400.0,20.03,13.38,3.75,2.97,0.29,0.4,0.04,1.35,1.35,35
330,1.5,1,6,400.0,23.37,13.38,3.75,3.44,0.33,0.4,0.04,1.35,1.35,35
69,1.5,2,2,400.0,13.35,21.6,3.75,2.27,0.33,0.85,0.07,2.69,2.69,35
100,1.5,2,3,400.0,16.69,21.6,3.75,2.67,0.37,0.85,0.07,2.69,2.69,35
146,1.5,2,4,400.0,20.03,21.6,3.75,3.11,0.41,0.85,0.07,2.69,2.69,35
26,1.5,2,5,400.0,23.37,21.6,3.75,3.56,0.44,0.85,0.07,2.69,2.69,35
208,1.5,2,6,400.0,26.71,21.6,3.75,4.02,0.48,0.85,0.07,2.69,2.69,35
280,1.5,3,3,400.0,20.03,28.53,3.75,3.33,0.47,1.15,0.11,4.04,4.04,35
226,1.5,3,4,400.0,23.37,28.53,3.75,3.74,0.51,1.15,0.11,4.04,4.04,35
356,1.5,3,5,400.0,26.71,28.53,3.75,4.17,0.55,1.15,0.11,4.04,4.04,35
170,1.5,3,6,400.0,30.05,28.53,3.75,4.61,0.59,1.15,0.11,4.04,4.04,35
272,1.5,4,4,400.0,26.71,34.72,3.75,4.38,0.6,1.38,0.15,5.38,5.38,35
310,1.5,4,5,400.0,30.05,34.72,3.75,4.79,0.64,1.38,0.15,5.38,5.38,35
124,1.5,4,6,400.0,33.39,34.72,3.75,5.22,0.67,1.38,0.15,5.38,5.38,35
73,1.5,5,5,400.0,33.39,40.39,3.75,5.42,0.71,1.58,0.18,6.73,6.73,35
253,1.5,5,6,400.0,36.72,40.39,3.75,5.83,0.75,1.58,0.18,6.73,6.73,35
285,1.5,6,6,400.0,40.06,45.69,3.75,6.45,0.82,1.75,0.22,8.08,8.08,35
414,1.6,1,1,400.0,7.13,14.65,3.91,1.19,0.17,0.48,0.04,1.55,1.55,35
641,1.6,1,2,400.0,10.69,14.65,3.91,1.59,0.21,0.48,0.04,1.55,1.55,35
786,1.6,1,3,400.0,14.26,14.65,3.91,2.03,0.25,0.48,0.04,1.55,1.55,35
733,1.6,1,4,400.0,17.82,14.65,3.91,2.49,0.29,0.48,0.04,1.55,1.55,35
692,1.6,1,5,400.0,21.39,14.65,3.91,2.96,0.33,0.48,0.04,1.55,1.55,35
457,1.6,1,6,400.0,24.95,14.65,3.91,3.43,0.37,0.48,0.04,1.55,1.55,35
828,1.6,2,2,400.0,14.26,23.77,3.91,2.27,0.37,0.96,0.07,3.1,3.1,35
628,1.6,2,3,400.0,17.82,23.77,3.91,2.67,0.41,0.96,0.07,3.1,3.1,35
685,1.6,2,4,400.0,21.39,23.77,3.91,3.1,0.45,0.96,0.07,3.1,3.1,35
772,1.6,2,5,400.0,24.95,23.77,3.91,3.56,0.49,0.96,0.07,3.1,3.1,35
503,1.6,2,6,400.0,28.51,23.77,3.91,4.02,0.53,0.96,0.07,3.1,3.1,35
595,1.6,3,3,400.0,21.39,31.5,3.91,3.33,0.51,1.27,0.11,4.64,4.64,35
529,1.6,3,4,400.0,24.95,31.5,3.91,3.73,0.55,1.27,0.11,4.64,4.64,35
451,1.6,3,5,400.0,28.51,31.5,3.91,4.16,0.59,1.27,0.11,4.64,4.64,35
724,1.6,3,6,400.0,32.08,31.5,3.91,4.61,0.63,1.27,0.11,4.64,4.64,35
584,1.6,4,4,400.0,28.51,38.43,3.91,4.38,0.64,1.51,0.15,6.19,6.19,35
392,1.6,4,5,400.0,32.08,38.43,3.91,4.78,0.68,1.51,0.15,6.19,6.19,35
666,1.6,4,6,400.0,35.64,38.43,3.91,5.21,0.72,1.51,0.15,6.19,6.19,35
829,1.6,5,5,400.0,35.64,44.81,3.91,5.41,0.76,1.72,0.18,7.74,7.74,35
557,1.6,5,6,400.0,39.21,44.81,3.91,5.83,0.8,1.72,0.18,7.74,7.74,35
398,1.6,6,6,400.0,42.77,50.79,3.91,6.45,0.87,1.9,0.22,9.29,9.29,35
705,1.7,1,1,400.0,7.59,15.89,4.08,1.19,0.2,0.57,0.04,1.76,1.76,35
466,1.7,1,2,400.0,11.39,15.89,4.08,1.58,0.24,0.57,0.04,1.76,1.76,35
543,1.7,1,3,400.0,15.18,15.89,4.08,2.03,0.28,0.57,0.04,1.76,1.76,35
606,1.7,1,4,400.0,18.98,15.89,4.08,2.49,0.32,0.57,0.04,1.76,1.76,35
400,1.7,1,5,400.0,22.78,15.89,4.08,2.96,0.37,0.57,0.04,1.76,1.76,35
632,1.7,1,6,400.0,26.57,15.89,4.08,3.43,0.41,0.57,0.04,1.76,1.76,35
498,1.7,2,2,400.0,15.18,25.87,4.08,2.27,0.4,1.05,0.07,3.53,3.53,35
477,1.7,2,3,400.0,18.98,25.87,4.08,2.66,0.44,1.05,0.07,3.53,3.53,35
423,1.7,2,4,400.0,22.78,25.87,4.08,3.1,0.48,1.05,0.07,3.53,3.53,35
555,1.7,2,5,400.0,26.57,25.87,4.08,3.55,0.52,1.05,0.07,3.53,3.53,35
834,1.7,2,6,400.0,30.37,25.87,4.08,4.01,0.57,1.05,0.07,3.53,3.53,35
750,1.7,3,3,400.0,22.78,34.37,4.08,3.33,0.55,1.38,0.11,5.29,5.29,35
798,1.7,3,4,400.0,26.57,34.37,4.08,3.73,0.59,1.38,0.11,5.29,5.29,35
660,1.7,3,5,400.0,30.37,34.37,4.08,4.16,0.63,1.38,0.11,5.29,5.29,35
395,1.7,3,6,400.0,34.16,34.37,4.08,4.6,0.68,1.38,0.11,5.29,5.29,35
739,1.7,4,4,400.0,30.37,42.01,4.08,4.37,0.68,1.63,0.15,7.06,7.06,35
719,1.7,4,5,400.0,34.16,42.01,4.08,4.78,0.72,1.63,0.15,7.06,7.06,35
455,1.7,4,6,400.0,37.96,42.01,4.08,5.21,0.77,1.63,0.15,7.06,7.06,35
500,1.7,5,5,400.0,37.96,49.08,4.08,5.41,0.8,1.85,0.18,8.82,8.82,35
776,1.7,5,6,400.0,41.75,49.08,4.08,5.82,0.85,1.85,0.18,8.82,8.82,35
688,1.7,6,6,400.0,45.55,55.8,4.08,6.44,0.92,2.04,0.22,10.59,10.59,35
658,1.8,1,1,400.0,8.07,17.08,4.26,1.19,0.22,0.64,0.04,2.0,2.0,35
394,1.8,1,2,400.0,12.1,17.08,4.26,1.58,0.27,0.64,0.04,2.0,2.0,35
583,1.8,1,3,400.0,16.13,17.08,4.26,2.02,0.31,0.64,0.04,2.0,2.0,35
538,1.8,1,4,400.0,20.17,17.08,4.26,2.48,0.36,0.64,0.04,2.0,2.0,35
437,1.8,1,5,400.0,24.2,17.08,4.26,2.95,0.4,0.64,0.04,2.0,2.0,35
709,1.8,1,6,400.0,28.23,17.08,4.26,3.42,0.45,0.64,0.04,2.0,2.0,35
566,1.8,2,2,400.0,16.13,27.89,4.26,2.27,0.43,1.14,0.07,3.99,3.99,35
433,1.8,2,3,400.0,20.17,27.89,4.26,2.66,0.47,1.14,0.07,3.99,3.99,35
484,1.8,2,4,400.0,24.2,27.89,4.26,3.09,0.51,1.14,0.07,3.99,3.99,35
518,1.8,2,5,400.0,28.23,27.89,4.26,3.54,0.56,1.14,0.07,3.99,3.99,35
758,1.8,2,6,400.0,32.27,27.89,4.26,4.0,0.6,1.14,0.07,3.99,3.99,35
793,1.8,3,3,400.0,24.2,37.13,4.26,3.32,0.58,1.48,0.11,5.99,5.99,35
726,1.8,3,4,400.0,28.23,37.13,4.26,3.72,0.63,1.48,0.11,5.99,5.99,35
703,1.8,3,5,400.0,32.27,37.13,4.26,4.15,0.67,1.48,0.11,5.99,5.99,35
465,1.8,3,6,400.0,36.3,37.13,4.26,4.59,0.72,1.48,0.11,5.99,5.99,35
785,1.8,4,4,400.0,32.27,45.47,4.26,4.37,0.72,1.74,0.15,7.99,7.99,35
643,1.8,4,5,400.0,36.3,45.47,4.26,4.77,0.76,1.74,0.15,7.99,7.99,35
408,1.8,4,6,400.0,40.33,45.47,4.26,5.2,0.81,1.74,0.15,7.99,7.99,35
573,1.8,5,5,400.0,40.33,53.23,4.26,5.4,0.85,1.97,0.18,9.99,9.99,35
814,1.8,5,6,400.0,44.37,53.23,4.26,5.81,0.89,1.97,0.18,9.99,9.99,35
650,1.8,6,6,400.0,48.4,60.65,4.26,6.44,0.97,2.17,0.22,11.98,11.98,35
447,1.9,1,1,400.0,8.55,18.23,4.44,1.19,0.24,0.71,0.04,2.25,2.25,35
721,1.9,1,2,400.0,12.83,18.23,4.44,1.57,0.29,0.71,0.04,2.25,2.25,35
738,1.9,1,3,400.0,17.11,18.23,4.44,2.01,0.34,0.71,0.04,2.25,2.25,35
807,1.9,1,4,400.0,21.38,18.23,4.44,2.47,0.39,0.71,0.04,2.25,2.25,35
646,1.9,1,5,400.0,25.66,18.23,4.44,2.93,0.43,0.71,0.04,2.25,2.25,35
380,1.9,1,6,400.0,29.94,18.23,4.44,3.4,0.48,0.71,0.04,2.25,2.25,35
756,1.9,2,2,400.0,17.11,29.84,4.44,2.26,0.45,1.22,0.07,4.49,4.49,35
674,1.9,2,3,400.0,21.38,29.84,4.44,2.65,0.5,1.22,0.07,4.49,4.49,35
612,1.9,2,4,400.0,25.66,29.84,4.44,3.08,0.55,1.22,0.07,4.49,4.49,35
818,1.9,2,5,400.0,29.94,29.84,4.44,3.53,0.59,1.22,0.07,4.49,4.49,35
571,1.9,2,6,400.0,34.21,29.84,4.44,3.99,0.64,1.22,0.07,4.49,4.49,35
550,1.9,3,3,400.0,25.66,39.79,4.44,3.32,0.61,1.57,0.11,6.74,6.74,35
599,1.9,3,4,400.0,29.94,39.79,4.44,3.71,0.66,1.57,0.11,6.74,6.74,35
411,1.9,3,5,400.0,34.21,39.79,4.44,4.14,0.71,1.57,0.11,6.74,6.74,35
639,1.9,3,6,400.0,38.49,39.79,4.44,4.58,0.76,1.57,0.11,6.74,6.74,35
542,1.9,4,4,400.0,34.21,48.79,4.44,4.36,0.76,1.84,0.15,8.98,8.98,35
467,1.9,4,5,400.0,38.49,48.79,4.44,4.76,0.8,1.84,0.15,8.98,8.98,35
698,1.9,4,6,400.0,42.77,48.79,4.44,5.19,0.85,1.84,0.15,8.98,8.98,35
763,1.9,5,5,400.0,42.77,57.27,4.44,5.4,0.89,2.08,0.18,11.23,11.23,35
517,1.9,5,6,400.0,47.04,57.27,4.44,5.8,0.94,2.08,0.18,11.23,11.23,35
439,1.9,6,6,400.0,51.32,65.32,4.44,6.43,1.01,2.29,0.22,13.47,13.47,35
481,2.0,1,1,400.0,9.05,19.34,4.62,1.18,0.26,0.78,0.04,2.51,2.51,35
667,2.0,1,2,400.0,13.58,19.34,4.62,1.57,0.31,0.78,0.04,2.51,2.51,35
769,2.0,1,3,400.0,18.1,19.34,4.62,2.01,0.36,0.78,0.04,2.51,2.51,35
809,2.0,1,4,400.0,22.63,19.34,4.62,2.46,0.41,0.78,0.04,2.51,2.51,35
621,2.0,1,5,400.0,27.16,19.34,4.62,2.92,0.46,0.78,0.04,2.51,2.51,35
434,2.0,1,6,400.0,31.68,19.34,4.62,3.38,0.51,0.78,0.04,2.51,2.51,35
747,2.0,2,2,400.0,18.1,31.71,4.62,2.26,0.48,1.3,0.07,5.02,5.02,35
710,2.0,2,3,400.0,22.63,31.71,4.62,2.65,0.53,1.3,0.07,5.02,5.02,35
655,2.0,2,4,400.0,27.16,31.71,4.62,3.07,0.58,1.3,0.07,5.02,5.02,35
801,2.0,2,5,400.0,31.68,31.71,4.62,3.52,0.63,1.3,0.07,5.02,5.02,35
590,2.0,2,6,400.0,36.21,31.71,4.62,3.97,0.68,1.3,0.07,5.02,5.02,35
494,2.0,3,3,400.0,27.16,42.34,4.62,3.31,0.64,1.66,0.11,7.53,7.53,35
563,2.0,3,4,400.0,31.68,42.34,4.62,3.71,0.69,1.66,0.11,7.53,7.53,35
415,2.0,3,5,400.0,36.21,42.34,4.62,4.13,0.74,1.66,0.11,7.53,7.53,35
623,2.0,3,6,400.0,40.73,42.34,4.62,4.57,0.79,1.66,0.11,7.53,7.53,35
509,2.0,4,4,400.0,36.21,52.02,4.62,4.35,0.79,1.94,0.15,10.04,10.04,35
471,2.0,4,5,400.0,40.73,52.02,4.62,4.75,0.84,1.94,0.15,10.04,10.04,35
678,2.0,4,6,400.0,45.26,52.02,4.62,5.18,0.89,1.94,0.15,10.04,10.04,35
743,2.0,5,5,400.0,45.26,61.16,4.62,5.39,0.93,2.19,0.18,12.55,12.55,35
534,2.0,5,6,400.0,49.79,61.16,4.62,5.79,0.98,2.19,0.18,12.55,12.55,35
491,2.0,6,6,400.0,54.31,69.8,4.62,6.42,1.06,2.4,0.22,15.06,15.06,35
610,2.1,1,1,400.0,9.56,20.39,4.81,1.18,0.28,0.84,0.04,2.79,2.79,35
426,2.1,1,2,400.0,14.34,20.39,4.81,1.56,0.34,0.84,0.04,2.79,2.79,35
578,2.1,1,3,400.0,19.13,20.39,4.81,1.99,0.39,0.84,0.04,2.79,2.79,35
510,2.1,1,4,400.0,23.91,20.39,4.81,2.44,0.44,0.84,0.04,2.79,2.79,35
493,2.1,1,5,400.0,28.69,20.39,4.81,2.9,0.49,0.84,0.04,2.79,2.79,35
676,2.1,1,6,400.0,33.47,20.39,4.81,3.38,0.54,0.84,0.04,2.79,2.79,35
592,2.1,2,2,400.0,19.13,33.5,4.81,2.25,0.5,1.37,0.07,5.58,5.58,35
383,2.1,2,3,400.0,23.91,33.5,4.81,2.64,0.55,1.37,0.07,5.58,5.58,35
446,2.1,2,4,400.0,28.69,33.5,4.81,3.06,0.61,1.37,0.07,5.58,5.58,35
532,2.1,2,5,400.0,33.47,33.5,4.81,3.51,0.66,1.37,0.07,5.58,5.58,35
744,2.1,2,6,400.0,38.25,33.5,4.81,3.96,0.71,1.37,0.07,5.58,5.58,35
824,2.1,3,3,400.0,28.69,44.78,4.81,3.31,0.67,1.73,0.11,8.37,8.37,35
780,2.1,3,4,400.0,33.47,44.78,4.81,3.7,0.73,1.73,0.11,8.37,8.37,35
677,2.1,3,5,400.0,38.25,44.78,4.81,4.12,0.78,1.73,0.11,8.37,8.37,35
473,2.1,3,6,400.0,43.03,44.78,4.81,4.56,0.83,1.73,0.11,8.37,8.37,35
838,2.1,4,4,400.0,38.25,55.14,4.81,4.35,0.83,2.03,0.15,11.16,11.16,35
622,2.1,4,5,400.0,43.03,55.14,4.81,4.74,0.88,2.03,0.15,11.16,11.16,35
417,2.1,4,6,400.0,47.81,55.14,4.81,5.17,0.93,2.03,0.15,11.16,11.16,35
588,2.1,5,5,400.0,47.81,64.87,4.81,5.38,0.97,2.28,0.18,13.95,13.95,35
802,2.1,5,6,400.0,52.59,64.87,4.81,5.78,1.02,2.28,0.18,13.95,13.95,35
620,2.1,6,6,400.0,57.38,74.09,4.81,6.41,1.1,2.51,0.22,16.74,16.74,35
103,2.2,1,1,400.0,10.08,21.4,5.0,1.17,0.3,0.89,0.04,3.09,3.09,35
315,2.2,1,2,400.0,15.13,21.4,5.0,1.55,0.36,0.89,0.04,3.09,3.09,35
246,2.2,1,3,400.0,20.17,21.4,5.0,1.98,0.41,0.89,0.04,3.09,3.09,35
191,2.2,1,4,400.0,25.21,21.4,5.0,2.42,0.47,0.89,0.04,3.09,3.09,35
366,2.2,1,5,400.0,30.25,21.4,5.0,2.9,0.52,0.89,0.04,3.09,3.09,35
157,2.2,1,6,400.0,35.3,21.4,5.0,3.38,0.58,0.89,0.04,3.09,3.09,35
277,2.2,2,2,400.0,20.17,35.2,5.0,2.25,0.53,1.43,0.07,6.17,6.17,35
301,2.2,2,3,400.0,25.21,35.2,5.0,2.63,0.58,1.43,0.07,6.17,6.17,35
347,2.2,2,4,400.0,30.25,35.2,5.0,3.05,0.63,1.43,0.07,6.17,6.17,35
