,Depth (m),Number of Prod Wells,Number of Inj Wells,Maximum Reservoir Temperature (deg.C),Wellfield Cost ($M),Surface Plant Cost ($M),Exploration Cost ($M),Field Gathering System Cost ($M),Wellfield O&M Cost ($M/year),Surface Plant O&M Cost ($M/year),Make-Up Water O&M Cost ($M/year),Average Reservoir Heat Extraction (MWth),Average Total Electricity Generation (MWe),Lifetime
837,1.0,1,1,400.0,4.6,6.51,2.98,1.19,0.12,0.29,0.04,0.56,0.56,35
560,1.0,1,2,400.0,6.9,6.51,2.98,1.6,0.15,0.29,0.04,0.56,0.56,35
418,1.0,1,3,400.0,9.2,6.51,2.98,2.05,0.18,0.29,0.04,0.56,0.56,35
480,1.0,1,4,400.0,11.5,6.51,2.98,2.51,0.2,0.29,0.04,0.56,0.56,35
496,1.0,1,5,400.0,13.79,6.51,2.98,2.98,0.23,0.29,0.04,0.56,0.56,35
770,1.0,1,6,400.0,16.09,6.51,2.98,3.46,0.26,0.29,0.04,0.56,0.56,35
402,1.0,2,2,400.0,9.2,9.9,2.98,2.27,0.18,0.34,0.07,1.12,1.12,35
605,1.0,2,3,400.0,11.5,9.9,2.98,2.68,0.21,0.34,0.07,1.12,1.12,35
546,1.0,2,4,400.0,13.79,9.9,2.98,3.12,0.23,0.34,0.07,1.12,1.12,35
461,1.0,2,5,400.0,16.09,9.9,2.98,3.57,0.26,0.34,0.07,1.12,1.12,35
697,1.0,2,6,400.0,18.39,9.9,2.98,4.04,0.29,0.34,0.07,1.12,1.12,35
618,1.0,3,3,400.0,13.79,12.5,2.98,3.33,0.24,0.38,0.11,1.68,1.68,35
669,1.0,3,4,400.0,16.09,12.5,2.98,3.74,0.26,0.38,0.11,1.68,1.68,35
764,1.0,3,5,400.0,18.39,12.5,2.98,4.18,0.29,0.38,0.11,1.68,1.68,35
524,1.0,3,6,400.0,20.69,12.5,2.98,4.63,0.32,0.38,0.11,1.68,1.68,35
611,1.0,4,4,400.0,18.39,14.65,2.98,4.38,0.29,0.41,0.15,2.24,2.24,35
819,1.0,4,5,400.0,20.69,14.65,2.98,4.79,0.32,0.41,0.15,2.24,2.24,35
577,1.0,4,6,400.0,22.99,14.65,2.98,5.23,0.35,0.41,0.15,2.24,2.24,35
404,1.0,5,5,400.0,22.99,16.49,2.98,5.42,0.35,0.44,0.18,2.79,2.79,35
638,1.0,5,6,400.0,25.29,16.49,2.98,5.84,0.38,0.44,0.18,2.79,2.79,35
825,1.0,6,6,400.0,27.59,18.1,2.98,6.45,0.41,0.47,0.22,3.35,3.35,35
507,1.1,1,1,400.0,4.99,7.93,3.12,1.19,0.13,0.31,0.04,0.69,0.69,35
778,1.1,1,2,400.0,7.49,7.93,3.12,1.6,0.16,0.31,0.04,0.69,0.69,35
680,1.1,1,3,400.0,9.98,7.93,3.12,2.05,0.19,0.31,0.04,0.69,0.69,35
631,1.1,1,4,400.0,12.48,7.93,3.12,2.51,0.21,0.31,0.04,0.69,0.69,35
826,1.1,1,5,400.0,14.97,7.93,3.12,2.98,0.24,0.31,0.04,0.69,0.69,35
552,1.1,1,6,400.0,17.47,7.93,3.12,3.45,0.27,0.31,0.04,0.69,0.69,35
693,1.1,2,2,400.0,9.98,12.33,3.12,2.28,0.19,0.38,0.07,1.37,1.37,35
732,1.1,2,3,400.0,12.48,12.33,3.12,2.68,0.22,0.38,0.07,1.37,1.37,35
789,1.1,2,4,400.0,14.97,12.33,3.12,3.12,0.25,0.38,0.07,1.37,1.37,35
636,1.1,2,5,400.0,17.47,12.33,3.12,3.57,0.28,0.38,0.07,1.37,1.37,35
406,1.1,2,6,400.0,19.96,12.33,3.12,4.03,0.3,0.38,0.07,1.37,1.37,35
490,1.1,3,3,400.0,14.97,15.83,3.12,3.33,0.25,0.43,0.11,2.06,2.06,35
428,1.1,3,4,400.0,17.47,15.83,3.12,3.74,0.28,0.43,0.11,2.06,2.06,35
575,1.1,3,5,400.0,19.96,15.83,3.12,4.18,0.31,0.43,0.11,2.06,2.06,35
822,1.1,3,6,400.0,22.46,15.83,3.12,4.63,0.34,0.43,0.11,2.06,2.06,35
483,1.1,4,4,400.0,19.96,18.82,3.12,4.38,0.35,0.61,0.15,2.75,2.75,35
521,1.1,4,5,400.0,22.46,18.82,3.12,4.79,0.38,0.61,0.15,2.75,2.75,35
766,1.1,4,6,400.0,24.95,18.82,3.12,5.23,0.41,0.61,0.15,2.75,2.75,35
695,1.1,5,5,400.0,24.95,21.46,3.12,5.42,0.45,0.76,0.18,3.44,3.44,35
463,1.1,5,6,400.0,27.45,21.46,3.12,5.84,0.48,0.76,0.18,3.44,3.44,35
495,1.1,6,6,400.0,29.94,23.84,3.12,6.45,0.54,0.88,0.22,4.12,4.12,35
214,1.2,1,1,400.0,5.39,9.34,3.27,1.19,0.13,0.33,0.04,0.83,0.83,35
32,1.2,1,2,400.0,8.09,9.34,3.27,1.59,0.16,0.33,0.04,0.83,0.83,35
142,1.2,1,3,400.0,10.79,9.34,3.27,2.04,0.19,0.33,0.04,0.83,0.83,35
101,1.2,1,4,400.0,13.49,9.34,3.27,2.51,0.22,0.33,0.04,0.83,0.83,35
66,1.2,1,5,400.0,16.18,9.34,3.27,2.98,0.26,0.33,0.04,0.83,0.83,35
251,1.2,1,6,400.0,18.88,9.34,3.27,3.45,0.29,0.33,0.04,0.83,0.83,35
178,1.2,2,2,400.0,10.79,14.72,3.27,2.28,0.2,0.42,0.07,1.66,1.66,35
18,1.2,2,3,400.0,13.49,14.72,3.27,2.68,0.23,0.42,0.07,1.66,1.66,35
63,1.2,2,4,400.0,16.18,14.72,3.27,3.12,0.26,0.42,0.07,1.66,1.66,35
135,1.2,2,5,400.0,18.88,14.72,3.27,3.57,0.29,0.42,0.07,1.66,1.66,35
288,1.2,2,6,400.0,21.58,14.72,3.27,4.03,0.32,0.42,0.07,1.66,1.66,35
369,1.2,3,3,400.0,16.18,19.11,3.27,3.33,0.32,0.67,0.11,2.49,2.49,35
313,1.2,3,4,400.0,18.88,19.11,3.27,3.74,0.35,0.67,0.11,2.49,2.49,35
249,1.2,3,5,400.0,21.58,19.11,3.27,4.18,0.39,0.67,0.11,2.49,2.49,35
90,1.2,3,6,400.0,24.27,19.11,3.27,4.63,0.42,0.67,0.11,2.49,2.49,35
358,1.2,4,4,400.0,21.58,22.93,3.27,4.38,0.43,0.87,0.15,3.32,3.32,35
202,1.2,4,5,400.0,24.27,22.93,3.27,4.79,0.47,0.87,0.15,3.32,3.32,35
44,1.2,4,6,400.0,26.97,22.93,3.27,5.23,0.5,0.87,0.15,3.32,3.32,35
183,1.2,5,5,400.0,26.97,26.35,3.27,5.42,0.54,1.03,0.18,4.15,4.15,35
333,1.2,5,6,400.0,29.67,26.35,3.27,5.84,0.57,1.03,0.18,4.15,4.15,35
204,1.2,6,6,400.0,32.37,29.49,3.27,6.45,0.63,1.16,0.22,4.98,4.98,35
76,1.3,1,1,400.0,5.81,10.71,3.43,1.19,0.13,0.36,0.04,0.99,0.99,35
260,1.3,1,2,400.0,8.72,10.71,3.43,1.59,0.17,0.36,0.04,0.99,0.99,35
322,1.3,1,3,400.0,11.62,10.71,3.43,2.04,0.2,0.36,0.04,0.99,0.99,35
377,1.3,1,4,400.0,14.53,10.71,3.43,2.51,0.24,0.36,0.04,0.99,0.99,35
203,1.3,1,5,400.0,17.43,10.71,3.43,2.98,0.27,0.36,0.04,0.99,0.99,35
21,1.3,1,6,400.0,20.34,10.71,3.43,3.45,0.3,0.36,0.04,0.99,0.99,35
287,1.3,2,2,400.0,11.62,17.07,3.43,2.28,0.25,0.58,0.07,1.97,1.97,35
267,1.3,2,3,400.0,14.53,17.07,3.43,2.68,0.28,0.58,0.07,1.97,1.97,35
